protocol,prefix,ISP
ipv4,126.186.32.0/19,softbank
ipv4,126.186.96.0/19,softbank
ipv4,126.186.128.0/21,softbank
ipv4,126.186.136.0/21,softbank
ipv4,126.186.144.0/21,softbank
ipv4,126.186.152.0/21,softbank
ipv4,126.186.160.0/21,softbank
ipv4,126.186.168.0/21,softbank
ipv4,126.186.176.0/21,softbank
ipv4,126.186.184.0/21,softbank
ipv4,126.193.128.0/18,softbank
ipv4,126.193.208.0/21,softbank
ipv4,126.193.216.0/22,softbank
ipv4,126.194.64.0/19,softbank
ipv4,126.194.96.0/20,softbank
ipv4,126.194.112.0/20,softbank
ipv4,126.194.192.0/19,softbank
ipv4,126.194.224.0/20,softbank
ipv4,126.194.240.0/20,softbank
ipv4,126.200.0.0/18,softbank
ipv4,126.200.96.0/19,softbank
ipv4,126.204.0.0/17,softbank
ipv4,126.204.128.0/18,softbank
ipv4,126.204.192.0/21,softbank
ipv4,126.204.200.0/21,softbank
ipv4,126.204.208.0/21,softbank
ipv4,126.204.216.0/21,softbank
ipv4,126.204.224.0/21,softbank
ipv4,126.204.232.0/21,softbank
ipv4,126.204.240.0/20,softbank
ipv4,126.208.128.0/17,softbank
ipv4,126.211.0.0/18,softbank
ipv4,126.211.186.0/25,softbank
ipv4,126.211.186.128/25,softbank
ipv4,126.211.96.0/19,softbank
ipv4,126.212.128.0/18,softbank
ipv4,126.212.224.0/19,softbank
ipv4,126.229.0.0/18,softbank
ipv4,126.229.64.0/19,softbank
ipv4,126.234.0.0/18,softbank
ipv4,126.234.96.0/19,softbank
ipv4,126.236.0.0/20,softbank
ipv4,126.236.16.0/20,softbank
ipv4,126.236.32.0/20,softbank
ipv4,126.236.48.0/20,softbank
ipv4,126.236.128.0/20,softbank
ipv4,126.236.144.0/20,softbank
ipv4,126.236.160.0/20,softbank
ipv4,126.236.176.0/20,softbank
ipv4,126.237.0.0/20,softbank
ipv4,126.237.16.0/23,softbank
ipv4,126.237.18.0/23,softbank
ipv4,126.237.20.0/23,softbank
ipv4,126.237.22.0/23,softbank
ipv4,126.237.24.0/23,softbank
ipv4,126.237.26.0/23,softbank
ipv4,126.237.28.0/23,softbank
ipv4,126.237.30.0/23,softbank
ipv4,126.237.32.0/20,softbank
ipv4,126.237.48.0/23,softbank
ipv4,126.237.50.0/23,softbank
ipv4,126.237.52.0/23,softbank
ipv4,126.237.54.0/23,softbank
ipv4,126.237.56.0/23,softbank
ipv4,126.237.58.0/23,softbank
ipv4,126.237.60.0/23,softbank
ipv4,126.237.62.0/23,softbank
ipv4,126.237.64.0/21,softbank
ipv4,126.237.80.0/21,softbank
ipv4,126.237.96.0/22,softbank
ipv4,126.237.104.0/22,softbank
ipv4,126.240.56.0/25,softbank
ipv4,126.240.56.128/25,softbank
ipv4,126.240.57.0/25,softbank
ipv4,126.240.57.128/25,softbank
ipv4,126.253.0.0/19,softbank
ipv4,126.253.32.0/19,softbank
ipv4,126.253.64.0/19,softbank
ipv4,126.253.96.0/19,softbank
ipv4,126.253.128.0/19,softbank
ipv4,126.253.160.0/19,softbank
ipv4,126.253.192.0/19,softbank
ipv4,126.253.224.0/19,softbank
ipv4,126.255.0.0/17,softbank
ipv4,126.255.128.0/18,softbank
ipv4,126.255.192.0/21,softbank
ipv4,126.255.200.0/21,softbank
ipv4,126.255.208.0/21,softbank
ipv4,126.255.216.0/21,softbank
ipv4,126.255.224.0/21,softbank
ipv4,126.255.232.0/21,softbank
ipv4,126.255.240.0/21,softbank
ipv4,126.255.248.0/21,softbank
ipv4,202.253.96.160/28,softbank
ipv4,202.253.99.160/28,softbank
ipv4,210.228.189.196/30,softbank
ipv4,126.32.32.0/19,softbank
ipv4,126.33.0.0/16,softbank
ipv4,126.35.0.0/16,softbank
ipv4,126.152.0.0/21,softbank
ipv4,126.152.8.0/21,softbank
ipv4,126.152.16.0/21,softbank
ipv4,126.152.24.0/21,softbank
ipv4,126.152.64.0/21,softbank
ipv4,126.152.72.0/21,softbank
ipv4,126.152.80.0/21,softbank
ipv4,126.152.88.0/21,softbank
ipv4,126.152.96.0/21,softbank
ipv4,126.152.104.0/21,softbank
ipv4,126.152.112.0/21,softbank
ipv4,126.152.120.0/21,softbank
ipv4,126.152.192.0/21,softbank
ipv4,126.152.200.0/21,softbank
ipv4,126.152.208.0/21,softbank
ipv4,126.152.216.0/21,softbank
ipv4,126.152.224.0/21,softbank
ipv4,126.152.232.0/21,softbank
ipv4,126.152.240.0/21,softbank
ipv4,126.152.248.0/21,softbank
ipv4,126.156.0.0/19,softbank
ipv4,126.156.32.0/19,softbank
ipv4,126.156.64.0/19,softbank
ipv4,126.156.96.0/19,softbank
ipv4,126.157.0.0/20,softbank
ipv4,126.157.16.0/20,softbank
ipv4,126.157.32.0/20,softbank
ipv4,126.166.0.0/19,softbank
ipv4,126.166.32.0/19,softbank
ipv4,126.166.64.0/19,softbank
ipv4,126.166.96.0/19,softbank
ipv4,126.167.0.0/20,softbank
ipv4,126.167.16.0/20,softbank
ipv4,126.167.32.0/20,softbank
ipv4,126.167.48.0/20,softbank
ipv4,126.167.128.0/21,softbank
ipv4,126.167.136.0/21,softbank
ipv4,126.167.144.0/21,softbank
ipv4,126.167.152.0/21,softbank
ipv4,126.182.0.0/16,softbank
ipv4,126.193.0.0/17,softbank
ipv4,126.199.0.0/16,softbank
ipv4,126.225.144.0/21,softbank
ipv4,126.233.0.0/16,softbank
ipv4,126.236.0.0/16,softbank
ipv4,126.245.0.0/16,softbank
ipv4,126.247.0.0/16,softbank
ipv4,126.253.0.0/16,softbank
ipv4,126.254.0.0/16,softbank
ipv4,126.34.64.0/19,softbank
ipv4,126.152.32.0/21,softbank
ipv4,126.152.40.0/21,softbank
ipv4,126.152.48.0/21,softbank
ipv4,126.152.56.0/21,softbank
ipv4,126.157.48.0/20,softbank
ipv4,126.161.72.0/22,softbank
ipv4,126.161.76.0/22,softbank
ipv4,126.161.88.0/22,softbank
ipv4,126.161.92.0/22,softbank
ipv4,126.167.160.0/21,softbank
ipv4,126.167.168.0/21,softbank
ipv4,126.167.176.0/21,softbank
ipv4,126.167.184.0/21,softbank
ipv4,126.179.64.0/19,softbank
ipv4,126.179.192.0/19,softbank
ipv4,126.186.64.0/19,softbank
ipv4,126.193.192.0/20,softbank
ipv4,126.200.64.0/19,softbank
ipv4,126.211.64.0/19,softbank
ipv4,126.212.192.0/19,softbank
ipv4,126.225.200.0/23,softbank
ipv4,126.234.64.0/19,softbank
ipv4,126.237.64.0/19,softbank
ipv4,126.237.72.0/22,softbank
ipv4,126.237.76.0/22,softbank
ipv4,126.237.88.0/22,softbank
ipv4,126.237.92.0/22,softbank
ipv4,123.108.237.128/28,softbank
ipv4,123.108.239.240/28,softbank
ipv4,202.253.96.160/28,softbank
ipv4,202.253.99.160/28,softbank
ipv4,210.228.189.196/30,softbank
ipv4,126.32.0.0/19,softbank
ipv4,126.193.224.0/19,softbank
